Birmingham Museum & Art Gallery;ChIJo0dMkYy8cEgRRJR-gJ-142Y;1885;Birmingham Museum and Art Gallery is housed in a Grade II* listed city centre landmark building.;Victorian Baroque & Edwardian Rennaissance;Yeoville Thomason
Royal Birmingham Conservatoire;ChIJ3YJ_VYu8cEgRQaSXhi5I4gs;2017;The Royal Birmingham Conservatoire is a music school, drama school and concert venue.;Modern;Feilden Clegg Bradley
Rotunda;ChIJ_3xXsFK9cEgRhUonFfibqQw;1965;Grade II listed cylindrical highrise building, standing at 81 metres tall.;Modern;Jim Roberts
Grand Central;ChIJTaMcWIm8cEgR4vbQGVg7RvM;2015;Shopping centre located above New Street railway station.;Modern;Haskoll
Chamberlain Clock;ChIJuUKLf-68cEgR7LAG-obNvds;1903;An Edwardian, cast-iron, clock tower in the Jewellery Quarter of Birmingham.;Edwardian;-
St. Paul's Church;ChIJdyVTSu28cEgRJuHktarb3hI;1779;Grade I listed Church of England church in St Paul's Square in the Jewellery Quarter.;Georgian;Roger Eykyns
Saint Martin in the Bull Ring;ChIJGbeOjoi8cEgR1k7FRwPEt9o;1855;Grade II* listed original parish church of Birmingham.;Neo-Gothic;J. A. Chatwin
The International Convention Centre;ChIJk-zSjIy8cEgRb6g3gjSAOOo;1991;Major conference venue and holds the Symphony Hall.;Modern;Percy Thomas
Symphony Hall;ChIJk-zSjIy8cEgRJZqgu9tLQKI;1991;A 2,262 seat concert venue, with interior modelled on the Musikverein in Vienna and the Concertgebouw in Amsterdam.;Modern;Percy Thomas
Mailbox Birmingham;ChIJnZVz2oq8cEgRGd4Tz3taGKc;2000;Upmarket shopping and office development.;Modern;Associated Architects
The Old Joint Stock Pub & Theatre;ChIJtX9rIYy8cEgRqSOlmsDfv74;1864;Grade II listed theatre and pub built as a library.;Classical;J. A. Chatwin
Birmingham School of Art;ChIJ1Qca8Yy8cEgRVa3PzYxXILM;1843;Grade I listed municipal art school.;Victorian Gothic & Venetian;J. H. Chamberlain
Bullring;ChIJgTmisIi8cEgRUGnpwrypSC8;2003;Birmingham's major shopping centre.;Contemporary;Benoy
